stock_code,golden_cross_date_30m,macd_30m,pre_macd_30m,is_matched,match_type,days_difference,trend_date_daily,match_score,price_up_1d,price_up_2d,price_up_3d,price_up_5d
000001.SZ,2025-12-01,-0.002,-0.012,False,未匹配,,,0,-0.4277159965782629,-1.1976047904191514,-1.7108639863130821,
000001.SZ,2025-12-02,0.022,0.018,False,未匹配,,,0,-0.7731958762886585,-1.288659793814436,-1.030927835051555,
000001.SZ,2025-12-03,0.008,0.002,False,未匹配,,,0,-0.5194805194805238,-0.2597402597402696,,-0.2597402597402696
000001.SZ,2025-12-05,-0.002,-0.016,False,未匹配,,,0,,,0.0,-1.6493055555555514
000001.SZ,2025-12-08,0.02,0.016,False,未匹配,,,0,,-1.6493055555555514,,
000002.SZ,2025-12-01,0.008,0.008,False,未匹配,,,0,0.38610038610039504,-3.0888030888030915,-4.0540540540540535,
000002.SZ,2025-12-02,0.02,0.01,False,未匹配,,,0,-3.4615384615384728,-4.423076923076931,-4.615384615384619,
000002.SZ,2025-12-03,0.014,0.014,True,后三天,3.0,2025-12-08,65,-0.9960159362549766,-1.1952191235059684,,-2.3904382470119367
000002.SZ,2025-12-04,0.002,-0.012,True,后两天,2.0,2025-12-08,80,-0.2012072434607603,,,-3.8229376257545176
000002.SZ,2025-12-05,0.006,-0.006,True,后一天,1.0,2025-12-08,90,,,-1.209677419354831,5.846774193548388
000002.SZ,2025-12-08,0.038,0.034,True,当日,0.0,2025-12-08,90,-2.4489795918367365,7.142857142857135,,
000002.SZ,2025-12-10,0.046,-0.006,False,未匹配,,,0,,,,
000004.SZ,2025-12-01,0.146,0.104,False,未匹配,,,0,,,,
000004.SZ,2025-12-05,-0.054,-0.078,False,未匹配,,,0,,,,
000004.SZ,2025-12-08,0.05,0.038,False,未匹配,,,0,,,,
000004.SZ,2025-12-09,-0.006,-0.016,False,未匹配,,,0,,,,
000004.SZ,2025-12-10,0.044,0.018,False,未匹配,,,0,,,,
000006.SZ,2025-12-03,-0.042,-0.054,False,未匹配,,,0,,,,
000006.SZ,2025-12-04,-0.026,-0.036,False,未匹配,,,0,,,,
000006.SZ,2025-12-05,0.054,0.042,False,未匹配,,,0,,,,
000006.SZ,2025-12-08,0.1,0.116,False,未匹配,,,0,,,,
000006.SZ,2025-12-09,0.066,0.078,False,未匹配,,,0,,,,
000006.SZ,2025-12-10,-0.002,-0.014,False,未匹配,,,0,,,,
000007.SZ,2025-12-01,0.068,0.006,False,未匹配,,,0,,,,
000007.SZ,2025-12-05,-0.056,-0.076,False,未匹配,,,0,,,,
000007.SZ,2025-12-08,-0.01,-0.03,False,未匹配,,,0,,,,
000007.SZ,2025-12-09,0.03,0.026,False,未匹配,,,0,,,,
000007.SZ,2025-12-10,0.128,0.11,False,未匹配,,,0,,,,
000008.SZ,2025-12-01,0.018,0.018,False,未匹配,,,0,,,,
000008.SZ,2025-12-02,0.002,0.0,False,未匹配,,,0,,,,
000008.SZ,2025-12-04,-0.01,-0.014,False,未匹配,,,0,,,,
000008.SZ,2025-12-05,-0.006,-0.01,False,未匹配,,,0,,,,
000008.SZ,2025-12-08,0.01,0.008,False,未匹配,,,0,,,,
000008.SZ,2025-12-10,-0.008,-0.012,False,未匹配,,,0,,,,
000009.SZ,2025-12-01,0.062,0.02,False,未匹配,,,0,,,,
000009.SZ,2025-12-03,-0.016,-0.028,False,未匹配,,,0,,,,
000009.SZ,2025-12-04,-0.012,-0.02,False,未匹配,,,0,,,,
000009.SZ,2025-12-05,0.004,-0.004,False,未匹配,,,0,,,,
000009.SZ,2025-12-08,0.036,0.038,False,未匹配,,,0,,,,
000009.SZ,2025-12-10,-0.02,-0.03,False,未匹配,,,0,,,,
000010.SZ,2025-12-01,0.008,0.006,False,未匹配,,,0,,,,
000010.SZ,2025-12-04,-0.024,-0.032,False,未匹配,,,0,,,,
000010.SZ,2025-12-05,-0.004,-0.008,False,未匹配,,,0,,,,
000010.SZ,2025-12-08,0.002,0.0,False,未匹配,,,0,,,,
000010.SZ,2025-12-09,0.004,0.004,False,未匹配,,,0,,,,
000010.SZ,2025-12-10,0.004,-0.002,False,未匹配,,,0,,,,
000011.SZ,2025-12-02,-0.05,-0.064,False,未匹配,,,0,,,,
000011.SZ,2025-12-03,-0.018,-0.028,False,未匹配,,,0,,,,
000011.SZ,2025-12-04,-0.018,-0.026,False,未匹配,,,0,,,,
000011.SZ,2025-12-05,-0.002,-0.008,False,未匹配,,,0,,,,
000011.SZ,2025-12-08,0.036,0.038,False,未匹配,,,0,,,,
000011.SZ,2025-12-09,0.01,-0.002,False,未匹配,,,0,,,,
000011.SZ,2025-12-10,0.012,-0.006,False,未匹配,,,0,,,,
000012.SZ,2025-12-01,0.018,0.012,False,未匹配,,,0,,,,
000012.SZ,2025-12-02,0.002,0.002,False,未匹配,,,0,,,,
000012.SZ,2025-12-05,-0.006,-0.012,False,未匹配,,,0,,,,
000012.SZ,2025-12-08,0.0,-0.002,False,未匹配,,,0,,,,
000012.SZ,2025-12-09,-0.008,-0.012,False,未匹配,,,0,,,,
000012.SZ,2025-12-10,-0.012,-0.016,False,未匹配,,,0,,,,
000014.SZ,2025-12-04,-0.052,-0.07,False,未匹配,,,0,,,,
000014.SZ,2025-12-05,0.012,-0.002,False,未匹配,,,0,,,,
000014.SZ,2025-12-08,0.068,0.076,False,未匹配,,,0,,,,
000014.SZ,2025-12-09,0.046,0.048,False,未匹配,,,0,,,,
000014.SZ,2025-12-10,0.038,0.026,False,未匹配,,,0,,,,
000016.SZ,2025-12-01,0.034,0.012,False,未匹配,,,0,,,,
000016.SZ,2025-12-05,-0.006,-0.01,False,未匹配,,,0,,,,
000016.SZ,2025-12-08,0.004,0.004,False,未匹配,,,0,,,,
000016.SZ,2025-12-09,0.008,-0.004,False,未匹配,,,0,,,,
000016.SZ,2025-12-10,0.022,0.018,False,未匹配,,,0,,,,
000017.SZ,2025-12-01,0.14,0.116,False,未匹配,,,0,,,,
000017.SZ,2025-12-02,0.048,0.054,False,未匹配,,,0,,,,
000017.SZ,2025-12-05,-0.012,-0.034,False,未匹配,,,0,,,,
000017.SZ,2025-12-08,0.116,0.088,False,未匹配,,,0,,,,
000017.SZ,2025-12-10,-0.044,-0.062,False,未匹配,,,0,,,,
000019.SZ,2025-12-01,0.034,0.032,False,未匹配,,,0,,,,
000019.SZ,2025-12-02,0.016,0.012,False,未匹配,,,0,,,,
000019.SZ,2025-12-03,0.026,0.032,False,未匹配,,,0,,,,
000019.SZ,2025-12-05,-0.02,-0.032,False,未匹配,,,0,,,,
