stock_code,golden_cross_date_30m,macd_30m,pre_macd_30m
000001.SZ,2025-12-01,-0.002,-0.012
000001.SZ,2025-12-02,0.022,0.018
000001.SZ,2025-12-03,0.008,0.002
000001.SZ,2025-12-05,-0.002,-0.016
000001.SZ,2025-12-08,0.02,0.016
000002.SZ,2025-12-01,0.008,0.008
000002.SZ,2025-12-02,0.02,0.01
000002.SZ,2025-12-10,0.046,-0.006
000004.SZ,2025-12-01,0.146,0.104
000004.SZ,2025-12-05,-0.054,-0.078
000004.SZ,2025-12-08,0.05,0.038
000004.SZ,2025-12-09,-0.006,-0.016
000004.SZ,2025-12-10,0.044,0.018
000006.SZ,2025-12-03,-0.042,-0.054
000006.SZ,2025-12-04,-0.026,-0.036
000006.SZ,2025-12-05,0.054,0.042
000006.SZ,2025-12-08,0.1,0.116
000006.SZ,2025-12-09,0.066,0.078
000006.SZ,2025-12-10,-0.002,-0.014
000007.SZ,2025-12-01,0.068,0.006
000007.SZ,2025-12-05,-0.056,-0.076
000007.SZ,2025-12-08,-0.01,-0.03
000007.SZ,2025-12-09,0.03,0.026
000007.SZ,2025-12-10,0.128,0.11
000008.SZ,2025-12-01,0.018,0.018
000008.SZ,2025-12-02,0.002,0.0
000008.SZ,2025-12-04,-0.01,-0.014
000008.SZ,2025-12-05,-0.006,-0.01
000008.SZ,2025-12-08,0.01,0.008
000008.SZ,2025-12-10,-0.008,-0.012
000009.SZ,2025-12-01,0.062,0.02
000009.SZ,2025-12-03,-0.016,-0.028
000009.SZ,2025-12-04,-0.012,-0.02
000009.SZ,2025-12-05,0.004,-0.004
000009.SZ,2025-12-08,0.036,0.038
000009.SZ,2025-12-10,-0.02,-0.03
000010.SZ,2025-12-01,0.008,0.006
000010.SZ,2025-12-04,-0.024,-0.032
000010.SZ,2025-12-05,-0.004,-0.008
000010.SZ,2025-12-08,0.002,0.0
000010.SZ,2025-12-09,0.004,0.004
000010.SZ,2025-12-10,0.004,-0.002
000011.SZ,2025-12-02,-0.05,-0.064
000011.SZ,2025-12-03,-0.018,-0.028
000011.SZ,2025-12-04,-0.018,-0.026
000011.SZ,2025-12-05,-0.002,-0.008
000011.SZ,2025-12-08,0.036,0.038
000011.SZ,2025-12-09,0.01,-0.002
000011.SZ,2025-12-10,0.012,-0.006
000012.SZ,2025-12-01,0.018,0.012
000012.SZ,2025-12-02,0.002,0.002
000012.SZ,2025-12-05,-0.006,-0.012
000012.SZ,2025-12-08,0.0,-0.002
000012.SZ,2025-12-09,-0.008,-0.012
000012.SZ,2025-12-10,-0.012,-0.016
000014.SZ,2025-12-04,-0.052,-0.07
000014.SZ,2025-12-05,0.012,-0.002
000014.SZ,2025-12-08,0.068,0.076
000014.SZ,2025-12-09,0.046,0.048
000014.SZ,2025-12-10,0.038,0.026
000016.SZ,2025-12-01,0.034,0.012
000016.SZ,2025-12-05,-0.006,-0.01
000016.SZ,2025-12-08,0.004,0.004
000016.SZ,2025-12-09,0.008,-0.004
000016.SZ,2025-12-10,0.022,0.018
000017.SZ,2025-12-01,0.14,0.116
000017.SZ,2025-12-02,0.048,0.054
000017.SZ,2025-12-05,-0.012,-0.034
000017.SZ,2025-12-08,0.116,0.088
000017.SZ,2025-12-10,-0.044,-0.062
000019.SZ,2025-12-01,0.034,0.032
000019.SZ,2025-12-02,0.016,0.012
000019.SZ,2025-12-03,0.026,0.032
000019.SZ,2025-12-05,-0.02,-0.032
000019.SZ,2025-12-08,0.024,0.024
000019.SZ,2025-12-09,0.008,0.006
000019.SZ,2025-12-10,0.0,-0.002
000020.SZ,2025-12-01,-0.074,-0.108
000020.SZ,2025-12-03,-0.046,-0.148
000020.SZ,2025-12-05,-0.106,-0.146
000020.SZ,2025-12-08,0.03,-0.074
000020.SZ,2025-12-09,0.266,0.328
000020.SZ,2025-12-10,-0.09,-0.12
000021.SZ,2025-12-05,-0.006,-0.014
000021.SZ,2025-12-08,0.084,0.034
000021.SZ,2025-12-09,0.138,0.146
000021.SZ,2025-12-10,-0.114,-0.18
000025.SZ,2025-12-01,-0.036,-0.064
000025.SZ,2025-12-02,-0.122,-0.186
000025.SZ,2025-12-05,-0.064,-0.094
000025.SZ,2025-12-08,0.11,0.1
000025.SZ,2025-12-09,0.048,0.058
000025.SZ,2025-12-10,-0.032,-0.054
000026.SZ,2025-12-01,0.032,0.01
000026.SZ,2025-12-03,-0.03,-0.04
000026.SZ,2025-12-04,-0.024,-0.034
000026.SZ,2025-12-05,0.006,0.006
000026.SZ,2025-12-08,0.03,0.026
000026.SZ,2025-12-09,0.062,0.042
000026.SZ,2025-12-10,-0.024,-0.032
000027.SZ,2025-12-01,0.006,0.002
000027.SZ,2025-12-02,-0.002,-0.006
000027.SZ,2025-12-03,-0.002,-0.006
000027.SZ,2025-12-04,-0.004,-0.01
000027.SZ,2025-12-05,-0.004,-0.01
000027.SZ,2025-12-08,0.002,0.0
000027.SZ,2025-12-10,-0.012,-0.022
000028.SZ,2025-12-01,0.002,-0.024
000028.SZ,2025-12-02,0.042,0.044
000028.SZ,2025-12-03,0.042,0.022
000028.SZ,2025-12-05,-0.042,-0.066
000028.SZ,2025-12-08,-0.006,-0.01
000028.SZ,2025-12-10,-0.006,-0.02
000029.SZ,2025-12-01,0.044,0.028
000029.SZ,2025-12-04,-0.102,-0.144
000029.SZ,2025-12-05,0.046,0.048
000029.SZ,2025-12-08,0.12,0.146
